Zeit (ns),Daten (Hex)
2635,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000013ad8167a2a220
2645,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000e80672d3b7180
2655,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000002d632f49ae6560
2665,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000241710a5233200
2675,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001b011d5f67b9a0
2685,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001c4f4db531bb40
2695,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000175ba059621bc0
2705,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000193010f4e53460
2715,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001a002d35a43860
2725,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000ed88c760fda40
2735,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000035a4a8c51d89c0
2745,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000017ab7d404f3dc0
2755,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000394b85f26de320
2765,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000004cfddc774701a0
2775,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000021076b463fdf20
2785,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000023d679297d6760
2795,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000020fd9950c1e280
2805,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000002384b938d83440
2815,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001932d96103f800
2825,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000022edcdea660620
2835,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000004c6c25b253a6c0
2845,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001fa616de0ed0c0
